Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
0.4932432432432433,0.59375,0.34285714285714297,0.5789473684210525,0.5000000000000001
0.8378378378378379,0.84375,0.5142857142857145,0.8771929824561403,0.7083333333333334
0.28378378378378377,0.15625,0.6857142857142859,0.10526315789473684,0.20833333333333331
0.7027027027027027,0.96875,0.40000000000000013,0.982456140350877,0.8333333333333335
0.5675675675675677,0.46875,0.6285714285714286,0.6140350877192983,0.6250000000000001
0.5067567567567568,0.71875,0.2857142857142858,0.6666666666666666,0.5416666666666667
0.8445945945945946,0.53125,0.2857142857142858,0.6666666666666666,0.7083333333333334
0.6554054054054055,0.1875,0.11428571428571432,0.3508771929824561,0.4166666666666667
0.6621621621621622,0.375,0.2857142857142858,0.5438596491228069,0.5000000000000001
0.6756756756756758,0.40625,0.22857142857142887,0.719298245614035,0.75
0.6891891891891893,0.5625,0.34285714285714297,0.807017543859649,0.7083333333333334
0.4864864864864865,0.5,0.2857142857142858,0.6491228070175439,0.4583333333333333
0.472972972972973,0.5,0.2857142857142858,0.5263157894736842,0.5000000000000001
0.7432432432432433,0.59375,0.22857142857142887,0.7543859649122806,0.75
0.9121621621621623,0.5625,0.6285714285714286,0.807017543859649,0.9583333333333334
0.918918918918919,0.59375,0.4571428571428573,0.7894736842105262,0.7083333333333334
0.5270270270270271,0.375,0.1714285714285717,0.4385964912280701,0.375
0.006756756756756757,0.0625,0.5142857142857145,0.05263157894736842,0.04166666666666667
0.7702702702702703,0.59375,0.5142857142857145,0.7543859649122806,0.9166666666666666
0.42567567567567566,0.34375,0.34285714285714297,0.45614035087719296,0.5000000000000001
0.8310810810810811,0.6875,0.5714285714285714,0.8245614035087719,0.8333333333333335
0.5405405405405406,0.3125,0.05714285714285716,0.4736842105263158,0.375
0.1418918918918919,0.03125,0.7428571428571429,0.0,0.04166666666666667
0.9324324324324326,0.75,0.4571428571428573,0.7719298245614036,0.8333333333333335
0.14864864864864866,0.1875,0.5714285714285714,0.12280701754385964,0.16666666666666669
0.8040540540540542,0.75,0.5142857142857145,0.8245614035087719,0.9166666666666666
0.3716216216216216,0.5625,0.5714285714285714,0.6491228070175439,0.6250000000000001
0.46621621621621623,0.4375,0.5142857142857145,0.6666666666666666,0.7083333333333334
0.4054054054054055,0.4375,0.40000000000000013,0.5614035087719298,0.5833333333333334
0.16891891891891894,0.15625,0.6285714285714286,0.10526315789473684,0.125
0.2702702702702703,0.0,0.0,0.05263157894736842,0.08333333333333333
0.9662162162162163,0.6875,0.5714285714285714,0.8245614035087719,1.0
0.13513513513513514,0.1875,0.8000000000000003,0.08771929824561403,0.125
0.8175675675675677,1.0,0.2857142857142858,0.9999999999999999,0.7916666666666667
0.5945945945945946,0.3125,0.11428571428571432,0.5263157894736842,0.5000000000000001
0.013513513513513514,0.03125,0.4571428571428573,0.08771929824561403,0.04166666666666667
0.7567567567567568,0.375,0.11428571428571432,0.7017543859649122,0.7916666666666667
0.6283783783783784,0.34375,0.22857142857142887,0.5614035087719298,0.5000000000000001
0.6148648648648649,0.40625,0.1714285714285717,0.5263157894736842,0.4583333333333333
0.12162162162162163,0.1875,0.8571428571428572,0.08771929824561403,0.08333333333333333
0.08783783783783784,0.40625,0.9714285714285715,0.03508771929824561,0.04166666666666667
0.9797297297297298,0.5625,0.11428571428571432,0.7017543859649122,0.75
1.0,0.4375,0.40000000000000013,0.719298245614035,0.7083333333333334
0.060810810810810814,0.28125,0.8000000000000003,0.08771929824561403,0.04166666666666667
0.05405405405405406,0.125,0.4571428571428573,0.08771929824561403,0.0
0.0945945945945946,0.375,1.0,0.08771929824561403,0.125
0.8986486486486487,0.5,0.1714285714285717,0.807017543859649,0.5416666666666667
0.641891891891892,0.375,0.34285714285714297,0.5614035087719298,0.5000000000000001
0.7297297297297298,0.84375,0.7428571428571429,0.8947368421052629,1.0
0.668918918918919,0.5625,0.5714285714285714,0.8771929824561403,1.0
